"Record ID","Company name","Employee Head Count","Number of Employees","Industry","Company Domain Name","Website URL","LinkedIn Company Page","Linkedin handle"
"151465923303","Mamsar Group","","400","Construction","www.mamsargroup.com","www.mamsargroup.com","",""
"116928428777","UNITED SERVICES AKCESS, INC. (AKCESS)","","","Transportation/Trucking/Railroad","unitedservices-akcess.com","unitedservices-akcess.com","",""
"100259578582","Henann Prime Beach Resort","","160.0","Hospitality","henann.com","henann.com","",""
"100259578581","Henann Palm Beach Resort","","160.0","Hospitality","henann.com","henann.com","",""
"100259578578","Henann Regency Resort And Spa","","160.0","Hospitality","henann.com","henann.com","",""
"100306015985","Henann Lagoon Resort","","160.0","Hospitality","henann.com","henann.com","",""
"100259578576","Henann Garden Resort","","160.0","Hospitality","henann.com","henann.com","",""
"100306015982","Henann Group of Resorts","","160.0","Hospitality","henann.com","henann.com","",""
"100259577564","Marco Polo Ortigas Manila","","341.0","hospitality","marcopolohotels.com","marcopolohotels.com","","https://www.linkedin.com/company/marco-polo-ortigas-manila"
"100182872769","Crimson Resort & Spa Mactan","","390.0","hospitality","crimsonhotel.com","crimsonhotel.com","","https://www.linkedin.com/company/crimson-resort-&-spa-mactan"
"27701280048","Marilou Resort","","","Hospitality","marilouresort.com","marilouresort.com","",""
"27701280027","KEW Hotel","","","Hospitality","kewhotel.com.ph","kewhotel.com.ph","",""
"27692986244","Tambuli Seaside Resort","","29","Hospitality","tambuliseasideresort.com-cebu.com","tambuliseasideresort.com-cebu.com","",""
"27701279636","coral-blue-oriental-villas-and-suites.mydirectstay.com","","","Hospitality","coralbluevillascebu.com","coralbluevillascebu.com","",""
"27701279615","Chateau by the Sea","","","Hospitality","","","",""
"27539261797","Siargao Bleu Resort & Spa","100 - 499","250.0","Hospitality","siargaobleu.com","siargaobleu.com","",""
"27588216398","Hyundai Motor Philippines Inc.","500 - 999","","Automotive","","","",""
"27588216348","SANKO PLASTICS PHILIPPINES INC.","1 - 49","","Plastics & Rubber Manufacturing","","","",""
"27572933897","Surtec Philippines Inc.","","","Chemicals","surtecphils.com","surtecphils.com","",""
"27572933783","FUTABA Corporation of The Philippines","","","Electrical/Electronic Manufacturing","","","",""
"27572933774","SEUNG JIN PRECISION Philippines Inc.","100 - 499","128","Plastics & Rubber Manufacturing","","","",""
"21684814419","Epicurean Partners Exchange Inc","1000 - 5000","1000.0","Food & Beverages","roasters.com.ph","http://www.roasters.com.ph","",""
"238207975139","Cogon Commercial Inc.","","","Retail","cogon.com","cogon.com","",""
"238170342084","Jesedai Telecom Inc.","","","Telecommunications","jesedai.com","jesedai.com","",""
"221957093092","Justright Healthcare Inc.","","200","Pharmaceuticals","","","",""
"221862542057","Creative Dishes","","","Food & Beverages","","","",""
"221855407846","Monpac Global","","","Financial Services","","","",""
"220637488865","DoubleSquare Networks Inc.","","","Information Technology & Services","","","",""
"220637488864","International Precision","","4.0","Mechanical or Industrial Engineering","","","",""
